family_sku,sku,karat,metal,width_mm,ring_size_us,weight_grams,price_preview_cents_active_basis,quantity
GLD-R-1009,GLD-R-1009-4MM-4,10K,Yellow Gold,4,4,2.74,71000,20
GLD-R-1009,GLD-R-1009-4MM-4.5,10K,Yellow Gold,4,4.5,2.805,72000,20
GLD-R-1009,GLD-R-1009-4MM-5,10K,Yellow Gold,4,5,2.87,73000,20
GLD-R-1009,GLD-R-1009-4MM-5.5,10K,Yellow Gold,4,5.5,2.935,74000,20
GLD-R-1009,GLD-R-1009-4MM-6,10K,Yellow Gold,4,6,3.0,75000,20
GLD-R-1009,GLD-R-1009-4MM-6.5,10K,Yellow Gold,4,6.5,3.07,76500,20
GLD-R-1009,GLD-R-1009-4MM-7,10K,Yellow Gold,4,7,3.14,77500,20
GLD-R-1009,GLD-R-1009-4MM-7.5,10K,Yellow Gold,4,7.5,3.205,79000,20
GLD-R-1009,GLD-R-1009-4MM-8,10K,Yellow Gold,4,8,3.27,80000,20
GLD-R-1009,GLD-R-1009-4MM-8.5,10K,Yellow Gold,4,8.5,3.335,81000,20
GLD-R-1009,GLD-R-1009-4MM-9,10K,Yellow Gold,4,9,3.4,82000,20
GLD-R-1009,GLD-R-1009-4MM-9.5,10K,Yellow Gold,4,9.5,3.465,83500,20
GLD-R-1009,GLD-R-1009-4MM-10,10K,Yellow Gold,4,10,3.53,84500,20
GLD-R-1009,GLD-R-1009-4MM-10.5,10K,Yellow Gold,4,10.5,3.6,85500,20
GLD-R-1009,GLD-R-1009-4MM-11,10K,Yellow Gold,4,11,3.67,87000,20
GLD-R-1009,GLD-R-1009-4MM-11.5,10K,Yellow Gold,4,11.5,3.735,88000,20
GLD-R-1009,GLD-R-1009-4MM-12,10K,Yellow Gold,4,12,3.8,89000,20
GLD-R-1009,GLD-R-1009-4MM-12.5,10K,Yellow Gold,4,12.5,3.865,90000,20
GLD-R-1009,GLD-R-1009-4MM-13,10K,Yellow Gold,4,13,3.93,91500,20
GLD-R-1009,GLD-R-1009-4MM-13.5,10K,Yellow Gold,4,13.5,3.995,92500,20
GLD-R-1009,GLD-R-1009-4MM-14,10K,Yellow Gold,4,14,4.06,93500,20
GLD-R-1009,GLD-R-1009-4MM-14.5,10K,Yellow Gold,4,14.5,4.13,95000,20
GLD-R-1009,GLD-R-1009-4MM-15,10K,Yellow Gold,4,15,4.2,96000,20
GLD-R-1009,GLD-R-1009-4MM-15.5,10K,Yellow Gold,4,15.5,4.265,97000,20
GLD-R-1009,GLD-R-1009-4MM-16,10K,Yellow Gold,4,16,4.33,98000,20
GLD-R-1009,GLD-R-1009-5MM-4,10K,Yellow Gold,5,4,3.42,82500,20
GLD-R-1009,GLD-R-1009-5MM-4.5,10K,Yellow Gold,5,4.5,3.505,84000,20
GLD-R-1009,GLD-R-1009-5MM-5,10K,Yellow Gold,5,5,3.59,85500,20
GLD-R-1009,GLD-R-1009-5MM-5.5,10K,Yellow Gold,5,5.5,3.67,87000,20
GLD-R-1009,GLD-R-1009-5MM-6,10K,Yellow Gold,5,6,3.75,88000,20
GLD-R-1009,GLD-R-1009-5MM-6.5,10K,Yellow Gold,5,6.5,3.835,89500,20
GLD-R-1009,GLD-R-1009-5MM-7,10K,Yellow Gold,5,7,3.92,91000,20
GLD-R-1009,GLD-R-1009-5MM-7.5,10K,Yellow Gold,5,7.5,4.0,92500,20
GLD-R-1009,GLD-R-1009-5MM-8,10K,Yellow Gold,5,8,4.08,94000,20
GLD-R-1009,GLD-R-1009-5MM-8.5,10K,Yellow Gold,5,8.5,4.165,95500,20
GLD-R-1009,GLD-R-1009-5MM-9,10K,Yellow Gold,5,9,4.25,97000,20
GLD-R-1009,GLD-R-1009-5MM-9.5,10K,Yellow Gold,5,9.5,4.335,98000,20
GLD-R-1009,GLD-R-1009-5MM-10,10K,Yellow Gold,5,10,4.42,99500,20
GLD-R-1009,GLD-R-1009-5MM-10.5,10K,Yellow Gold,5,10.5,4.5,101000,20
GLD-R-1009,GLD-R-1009-5MM-11,10K,Yellow Gold,5,11,4.58,102500,20
GLD-R-1009,GLD-R-1009-5MM-11.5,10K,Yellow Gold,5,11.5,4.665,104000,20
GLD-R-1009,GLD-R-1009-5MM-12,10K,Yellow Gold,5,12,4.75,105500,20
GLD-R-1009,GLD-R-1009-5MM-12.5,10K,Yellow Gold,5,12.5,4.83,107000,20
GLD-R-1009,GLD-R-1009-5MM-13,10K,Yellow Gold,5,13,4.91,108000,20
GLD-R-1009,GLD-R-1009-5MM-13.5,10K,Yellow Gold,5,13.5,4.995,109500,20
GLD-R-1009,GLD-R-1009-5MM-14,10K,Yellow Gold,5,14,5.08,111000,20
GLD-R-1009,GLD-R-1009-5MM-14.5,10K,Yellow Gold,5,14.5,5.185,113000,20
GLD-R-1009,GLD-R-1009-5MM-15,10K,Yellow Gold,5,15,5.29,115000,20
GLD-R-1009,GLD-R-1009-5MM-15.5,10K,Yellow Gold,5,15.5,5.355,116000,20
GLD-R-1009,GLD-R-1009-5MM-16,10K,Yellow Gold,5,16,5.42,117000,20
GLD-R-1009,GLD-R-1009-6MM-4,10K,Yellow Gold,6,4,4.11,94500,20
GLD-R-1009,GLD-R-1009-6MM-4.5,10K,Yellow Gold,6,4.5,4.205,96000,20
GLD-R-1009,GLD-R-1009-6MM-5,10K,Yellow Gold,6,5,4.3,97500,20
GLD-R-1009,GLD-R-1009-6MM-5.5,10K,Yellow Gold,6,5.5,4.4,99500,20
GLD-R-1009,GLD-R-1009-6MM-6,10K,Yellow Gold,6,6,4.5,101000,20
GLD-R-1009,GLD-R-1009-6MM-6.5,10K,Yellow Gold,6,6.5,4.6,103000,20
GLD-R-1009,GLD-R-1009-6MM-7,10K,Yellow Gold,6,7,4.7,104500,20
GLD-R-1009,GLD-R-1009-6MM-7.5,10K,Yellow Gold,6,7.5,4.8,106000,20
GLD-R-1009,GLD-R-1009-6MM-8,10K,Yellow Gold,6,8,4.9,108000,20
GLD-R-1009,GLD-R-1009-6MM-8.5,10K,Yellow Gold,6,8.5,5.0,109500,20
GLD-R-1009,GLD-R-1009-6MM-9,10K,Yellow Gold,6,9,5.1,111500,20
GLD-R-1009,GLD-R-1009-6MM-9.5,10K,Yellow Gold,6,9.5,5.2,113000,20
