listing_sku,variant_sku,karat,width_mm,ring_size_us,estimated_grams,material_usd,landed_cost_usd,margin_multiplier,list_usd,sale_25pct_usd,quantity,base_thickness_mm,peak_thickness_mm,effective_thickness_mm
EON-MERID-TT-10,EON-MERID-TT-10-04-030,10K,4,3,2.61,231.51,316.51,2.05,870,652.5,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-04-035,10K,4,3.5,2.68,236,321,2.05,880,660,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-04-040,10K,4,4,2.74,239.85,324.85,2.05,890,667.5,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-04-045,10K,4,4.5,2.81,244.34,329.34,2.05,905,678.75,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-04-050,10K,4,5,2.87,248.19,333.19,2.05,915,686.25,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-04-055,10K,4,5.5,2.94,252.68,337.68,2.05,925,693.75,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-04-060,10K,4,6,3,256.52,341.52,2.05,935,701.25,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-04-065,10K,4,6.5,3.07,261.01,346.01,2.05,950,712.5,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-04-070,10K,4,7,3.14,265.5,350.5,2.05,960,720,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-04-075,10K,4,7.5,3.21,269.99,354.99,2.05,975,731.25,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-04-080,10K,4,8,3.27,273.84,358.84,2.05,985,738.75,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-04-085,10K,4,8.5,3.34,278.33,363.33,2.05,995,746.25,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-04-090,10K,4,9,3.4,282.18,367.18,2.05,1005,753.75,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-04-095,10K,4,9.5,3.47,286.66,371.66,2.05,1020,765,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-04-100,10K,4,10,3.53,290.51,375.51,2.05,1030,772.5,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-04-105,10K,4,10.5,3.6,295,380,2.05,1040,780,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-04-110,10K,4,11,3.67,299.49,384.49,2.05,1055,791.25,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-04-115,10K,4,11.5,3.74,303.98,388.98,2.05,1065,798.75,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-04-120,10K,4,12,3.8,307.83,392.83,2.05,1075,806.25,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-04-125,10K,4,12.5,3.87,312.32,397.32,2.05,1090,817.5,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-04-130,10K,4,13,3.93,316.16,401.16,2.05,1100,825,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-05-030,10K,5,3,3.25,272.56,357.56,2.05,980,735,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-05-035,10K,5,3.5,3.34,278.33,363.33,2.05,995,746.25,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-05-040,10K,5,4,3.42,283.46,368.46,2.05,1010,757.5,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-05-045,10K,5,4.5,3.51,289.23,374.23,2.05,1025,768.75,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-05-050,10K,5,5,3.59,294.36,379.36,2.05,1040,780,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-05-055,10K,5,5.5,3.67,299.49,384.49,2.05,1055,791.25,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-05-060,10K,5,6,3.75,304.62,389.62,2.05,1065,798.75,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-05-065,10K,5,6.5,3.84,310.39,395.39,2.05,1085,813.75,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-05-070,10K,5,7,3.92,315.52,400.52,2.05,1095,821.25,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-05-075,10K,5,7.5,4,320.65,405.65,2.05,1110,832.5,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-05-080,10K,5,8,4.08,325.78,410.78,2.05,1125,843.75,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-05-085,10K,5,8.5,4.17,331.56,416.56,2.05,1140,855,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-05-090,10K,5,9,4.25,336.69,421.69,2.05,1155,866.25,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-05-095,10K,5,9.5,4.34,342.46,427.46,2.05,1170,877.5,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-05-100,10K,5,10,4.42,347.59,432.59,2.05,1185,888.75,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-05-105,10K,5,10.5,4.5,352.72,437.72,2.05,1200,900,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-05-110,10K,5,11,4.58,357.85,442.85,2.05,1215,911.25,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-05-115,10K,5,11.5,4.67,363.62,448.62,2.05,1230,922.5,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-05-120,10K,5,12,4.75,368.75,453.75,2.05,1245,933.75,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-05-125,10K,5,12.5,4.83,373.88,458.88,2.05,1255,941.25,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-05-130,10K,5,13,4.91,379.01,464.01,2.05,1270,952.5,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-06-030,10K,6,3,3.92,315.52,400.52,2.05,1095,821.25,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-06-035,10K,6,3.5,4.02,321.94,406.94,2.05,1115,836.25,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-06-040,10K,6,4,4.11,327.71,412.71,2.05,1130,847.5,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-06-045,10K,6,4.5,4.21,334.12,419.12,2.05,1150,862.5,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-06-050,10K,6,5,4.3,339.89,424.89,2.05,1165,873.75,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-06-055,10K,6,5.5,4.4,346.31,431.31,2.05,1180,885,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-06-060,10K,6,6,4.5,352.72,437.72,2.05,1200,900,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-06-065,10K,6,6.5,4.6,359.13,444.13,2.05,1215,911.25,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-06-070,10K,6,7,4.7,365.55,450.55,2.05,1235,926.25,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-06-075,10K,6,7.5,4.8,371.96,456.96,2.05,1250,937.5,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-06-080,10K,6,8,4.9,378.37,463.37,2.05,1270,952.5,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-06-085,10K,6,8.5,5,384.78,469.78,2.05,1285,963.75,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-06-090,10K,6,9,5.1,391.2,476.2,2.05,1305,978.75,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-06-095,10K,6,9.5,5.2,397.61,482.61,2.05,1320,990,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-06-100,10K,6,10,5.3,404.02,489.02,2.05,1340,1005,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-06-105,10K,6,10.5,5.4,410.44,495.44,2.05,1355,1016.25,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-06-110,10K,6,11,5.5,416.85,501.85,2.05,1375,1031.25,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-06-115,10K,6,11.5,5.6,423.26,508.26,2.05,1390,1042.5,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-06-120,10K,6,12,5.7,429.68,514.68,2.05,1410,1057.5,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-06-125,10K,6,12.5,5.8,436.09,521.09,2.05,1425,1068.75,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-06-130,10K,6,13,5.9,442.5,527.5,2.05,1445,1083.75,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-07-030,10K,7,3,4.56,356.57,441.57,2.05,1210,907.5,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-07-035,10K,7,3.5,4.68,364.26,449.26,2.05,1230,922.5,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-07-040,10K,7,4,4.79,371.32,456.32,2.05,1250,937.5,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-07-045,10K,7,4.5,4.9,378.37,463.37,2.05,1270,952.5,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-07-050,10K,7,5,5.02,386.07,471.07,2.05,1290,967.5,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-07-055,10K,7,5.5,5.14,393.76,478.76,2.05,1310,982.5,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-07-060,10K,7,6,5.25,400.82,485.82,2.05,1330,997.5,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-07-065,10K,7,6.5,5.37,408.51,493.51,2.05,1350,1012.5,20,1.5,1.5,1.5
EON-MERID-TT-10,EON-MERID-TT-10-07-070,10K,7,7,5.49,416.21,501.21,2.05,1370,1027.5,20,1.5,1.5,1.5
