karat,profil,genislik_mm,beden_us,gram_1_5mm,landed_usd,motor_usd,etsy_liste_usd,gorunen_sale_usd,floor_usd,offsite_floor_usd,canli_liste_usd,fark_usd,fark_yuzde,kontrol
10K,standard,2,4,1.37,140.38,218.0,295.0,221.25,157.0,189.0,355.0,-60.0,-16.9,OK
10K,standard,2,5,1.43,143.9,223.0,300.0,225.0,161.0,194.0,365.0,-65.0,-17.8,OK
10K,standard,2,6,1.5,148.01,229.0,310.0,232.5,166.0,199.0,375.0,-65.0,-17.3,OK
10K,standard,2,7,1.57,152.12,236.0,315.0,236.25,170.0,205.0,390.0,-75.0,-19.2,OK
10K,standard,2,8,1.63,155.64,241.0,325.0,243.75,174.0,209.0,395.0,-70.0,-17.7,OK
10K,standard,2,9,1.7,159.74,248.0,335.0,251.25,179.0,215.0,410.0,-75.0,-18.3,OK
10K,standard,2,10,1.77,163.85,254.0,340.0,255.0,184.0,220.0,420.0,-80.0,-19.0,OK
10K,standard,2,11,1.83,167.37,259.0,350.0,262.5,188.0,225.0,430.0,-80.0,-18.6,OK
10K,standard,2,12,1.9,171.48,266.0,355.0,266.25,192.0,231.0,440.0,-85.0,-19.3,OK
10K,standard,2,13,1.97,175.58,272.0,365.0,273.75,197.0,236.0,450.0,-85.0,-18.9,OK
10K,standard,2,14,2.03,179.1,278.0,375.0,281.25,201.0,241.0,460.0,-85.0,-18.5,OK
10K,standard,2,15,2.1,183.21,284.0,380.0,285.0,205.0,246.0,470.0,-90.0,-19.1,OK
10K,standard,2,16,2.16,186.73,289.0,390.0,292.5,209.0,251.0,480.0,-90.0,-18.8,OK
10K,standard,3,4,2.05,180.28,279.0,375.0,281.25,202.0,242.0,470.0,-95.0,-20.2,OK
10K,standard,3,5,2.15,186.15,289.0,390.0,292.5,208.0,250.0,485.0,-95.0,-19.6,OK
10K,standard,3,6,2.25,192.01,298.0,400.0,300.0,215.0,258.0,500.0,-100.0,-20.0,OK
10K,standard,3,7,2.35,197.88,307.0,410.0,307.5,222.0,266.0,515.0,-105.0,-20.4,OK
10K,standard,3,8,2.45,203.75,316.0,425.0,318.75,228.0,274.0,535.0,-110.0,-20.6,OK
10K,standard,3,9,2.55,209.61,325.0,435.0,326.25,235.0,282.0,550.0,-115.0,-20.9,OK
