narrow_multiplier,wide_multiplier,eligible,market_score,minimum_standard_margin_pct,minimum_offsite_margin_pct,rejection_reasons
2.05,2.2,True,0.011279656649714042,40.58,25.58,
2.05,2.15,True,0.011302121948600525,40.58,25.58,
2.05,2.1,True,0.01148663723642139,40.58,25.58,
2.05,2.05,True,0.01180648880474999,40.58,25.58,
2.05,2.25,False,0.011403477212407895,40.58,25.58,wide_price_step
2.0,2.2,False,0.011631858485436127,39.39,24.39,standard_margin|offsite_margin
2.0,2.15,False,0.01165432378432261,39.39,24.39,standard_margin|offsite_margin
2.05,2.3,False,0.011673499324779112,40.58,25.58,wide_price_step
2.0,2.25,False,0.01175567904812998,39.39,24.39,standard_margin|offsite_margin|wide_price_step
2.0,2.1,False,0.011838839072143477,39.39,24.39,standard_margin|offsite_margin
2.0,2.3,False,0.012025701160501197,39.39,24.39,standard_margin|offsite_margin|wide_price_step
2.05,2.35,False,0.012033317169865219,40.58,25.58,wide_price_step
2.0,2.05,False,0.012158690640472074,39.39,24.39,standard_margin|offsite_margin
2.1,2.2,False,0.01233181020316234,41.76,26.76,narrow_price_step
2.05,2.0,False,0.012345543065204856,39.44,24.44,standard_margin|offsite_margin
2.1,2.15,False,0.012354275502048824,41.76,26.76,narrow_price_step
2.0,2.35,False,0.012385519005587306,39.39,24.39,standard_margin|offsite_margin|wide_price_step
2.1,2.25,False,0.012455630765856193,41.76,26.76,narrow_price_step|wide_price_step
2.1,2.1,False,0.01253879078986969,41.76,26.76,narrow_price_step
2.05,2.4,False,0.012554492918205555,40.58,25.58,wide_price_step
2.0,2.0,False,0.012697744900926943,39.39,24.39,standard_margin|offsite_margin
2.1,2.3,False,0.012725652878227411,41.76,26.76,narrow_price_step|wide_price_step
1.95,2.2,False,0.012785135911040444,38.09,23.09,standard_margin|offsite_margin
1.95,2.15,False,0.012807601209926927,38.09,23.09,standard_margin|offsite_margin
2.1,2.05,False,0.012858642358198287,40.65,25.65,narrow_price_step
2.0,2.4,False,0.012906694753927639,39.39,24.39,standard_margin|offsite_margin|wide_price_step
1.95,2.25,False,0.012908956473734298,38.09,23.09,standard_margin|offsite_margin|wide_price_step
1.95,2.1,False,0.012992116497747792,38.09,23.09,standard_margin|offsite_margin
2.1,2.35,False,0.013085470723313519,41.76,26.76,narrow_price_step|wide_price_step
1.95,2.3,False,0.013178978586105514,38.09,23.09,standard_margin|offsite_margin|wide_price_step
1.95,2.05,False,0.01331196806607639,38.09,23.09,standard_margin|offsite_margin
2.1,2.0,False,0.013397696618653155,39.44,24.44,standard_margin|offsite_margin|narrow_price_step
1.95,2.35,False,0.013538796431191621,38.09,23.09,standard_margin|offsite_margin|wide_price_step
2.1,2.4,False,0.013606646471653853,41.76,26.76,narrow_price_step|wide_price_step
1.95,2.0,False,0.013851022326531258,38.09,23.09,standard_margin|offsite_margin
2.15,2.2,False,0.014025402832356931,42.91,27.91,narrow_price_step
2.15,2.15,False,0.014047868131243414,42.91,27.91,narrow_price_step
1.95,2.4,False,0.014059972179531954,38.09,23.09,standard_margin|offsite_margin|wide_price_step
2.15,2.25,False,0.014149223395050784,42.91,27.91,narrow_price_step|wide_price_step
2.15,2.1,False,0.014232383419064281,41.83,26.83,narrow_price_step
2.15,2.3,False,0.014419245507422003,42.91,27.91,narrow_price_step|wide_price_step
2.15,2.05,False,0.014552234987392878,40.65,25.65,narrow_price_step
2.15,2.35,False,0.01477906335250811,42.91,27.91,narrow_price_step|wide_price_step
1.9,2.2,False,0.015035548759083674,36.75,21.75,standard_margin|offsite_margin
1.9,2.15,False,0.015058014057970156,36.75,21.75,standard_margin|offsite_margin
2.15,2.0,False,0.015091289247847747,39.44,24.44,standard_margin|offsite_margin|narrow_price_step
1.9,2.25,False,0.01515936932177753,36.75,21.75,standard_margin|offsite_margin|wide_price_step
1.9,2.1,False,0.015242529345791024,36.75,21.75,standard_margin|offsite_margin
2.15,2.4,False,0.015300239100848444,42.91,27.91,narrow_price_step|wide_price_step
1.9,2.3,False,0.015429391434148747,36.75,21.75,standard_margin|offsite_margin|wide_price_step
1.9,2.05,False,0.015562380914119621,36.75,21.75,standard_margin|offsite_margin
1.9,2.35,False,0.015789209279234852,36.75,21.75,standard_margin|offsite_margin|wide_price_step
1.9,2.0,False,0.01610143517457449,36.75,21.75,standard_margin|offsite_margin
1.9,2.4,False,0.01631038502757519,36.75,21.75,standard_margin|offsite_margin|wide_price_step
2.2,2.2,False,0.016912478796325826,43.95,28.95,narrow_price_step
2.2,2.15,False,0.016934944095212307,42.95,27.95,narrow_price_step
2.2,2.25,False,0.017036299359019683,43.95,28.95,narrow_price_step|wide_price_step
2.2,2.1,False,0.017119459383033175,41.83,26.83,narrow_price_step
2.2,2.3,False,0.017306321471390898,43.95,28.95,narrow_price_step|wide_price_step
2.2,2.05,False,0.017439310951361774,40.65,25.65,narrow_price_step
2.2,2.35,False,0.017666139316477005,43.95,28.95,narrow_price_step|wide_price_step
2.2,2.0,False,0.017978365211816644,39.44,24.44,standard_margin|offsite_margin|narrow_price_step
2.2,2.4,False,0.01818731506481734,43.95,28.95,narrow_price_step|wide_price_step
1.85,2.2,False,0.018929138147400725,35.34,20.34,standard_margin|offsite_margin
1.85,2.15,False,0.01895160344628721,35.34,20.34,standard_margin|offsite_margin
1.85,2.25,False,0.019052958710094582,35.34,20.34,standard_margin|offsite_margin|wide_price_step
1.85,2.1,False,0.019136118734108077,35.34,20.34,standard_margin|offsite_margin
1.85,2.3,False,0.0193229808224658,35.34,20.34,standard_margin|offsite_margin|wide_price_step
1.85,2.05,False,0.019455970302436672,35.34,20.34,standard_margin|offsite_margin
1.85,2.35,False,0.019682798667551904,35.34,20.34,standard_margin|offsite_margin|wide_price_step
1.85,2.0,False,0.019995024562891543,35.34,20.34,standard_margin|offsite_margin
1.85,2.4,False,0.02020397441589224,35.34,20.34,standard_margin|offsite_margin|wide_price_step
2.25,2.2,False,0.020227458354706684,43.99,28.99,narrow_price_step
2.25,2.15,False,0.020249923653593165,42.95,27.95,narrow_price_step
