karat,width_mm,size_us,grams,material_usd,labor_usd,packaging_usd,shipping_usd,landed_usd,multiplier,list_price_usd,sale_price_usd,floor_usd,offsite_floor_usd,standard_contribution_usd,standard_margin_pct,offsite_contribution_usd,offsite_margin_pct
10K,3,4,2.05,129.39,55.0,8.0,22.0,214.39,2.05,590,442.5,240,288,181.2,40.95,114.82,25.95
10K,3,4.5,2.1,132.55,55.0,8.0,22.0,217.55,2.05,595,446.25,244,293,181.4,40.65,114.46,25.65
10K,3,5,2.15,135.7,55.0,8.0,22.0,220.7,2.05,605,453.75,247,297,184.95,40.76,116.89,25.76
10K,3,5.5,2.2,138.86,55.0,8.0,22.0,223.86,2.05,615,461.25,251,301,188.51,40.87,119.32,25.87
10K,3,6,2.25,142.02,55.0,8.0,22.0,227.02,2.05,620,465.0,254,305,188.71,40.58,118.96,25.58
10K,3,6.5,2.3,145.17,55.0,8.0,22.0,230.17,2.05,630,472.5,258,310,192.27,40.69,121.39,25.69
10K,3,7,2.35,148.33,55.0,8.0,22.0,233.33,2.05,640,480.0,261,314,195.82,40.8,123.82,25.8
10K,3,7.5,2.4,151.48,55.0,8.0,22.0,236.48,2.05,650,487.5,265,318,199.38,40.9,126.25,25.9
10K,3,8,2.45,154.64,55.0,8.0,22.0,239.64,2.05,655,491.25,268,322,199.58,40.63,125.89,25.63
10K,3,8.5,2.5,157.8,55.0,8.0,22.0,242.8,2.05,665,498.75,272,327,203.14,40.73,128.32,25.73
10K,3,9,2.55,160.95,55.0,8.0,22.0,245.95,2.05,675,506.25,275,331,206.69,40.83,130.76,25.83
10K,3,9.5,2.6,164.11,55.0,8.0,22.0,249.11,2.05,685,513.75,279,335,210.25,40.92,133.19,25.92
10K,3,10,2.65,167.26,55.0,8.0,22.0,252.26,2.05,690,517.5,282,339,210.45,40.67,132.82,25.67
10K,3,10.5,2.7,170.42,55.0,8.0,22.0,255.42,2.05,700,525.0,286,343,214.01,40.76,135.26,25.76
10K,3,11,2.75,173.57,55.0,8.0,22.0,258.57,2.05,710,532.5,289,348,217.56,40.86,137.69,25.86
10K,3,11.5,2.8,176.73,55.0,8.0,22.0,261.73,2.05,720,540.0,293,352,221.12,40.95,140.12,25.95
10K,3,12,2.85,179.89,55.0,8.0,22.0,264.89,2.05,725,543.75,296,356,221.32,40.7,139.76,25.7
10K,3,12.5,2.9,183.04,55.0,8.0,22.0,268.04,2.05,735,551.25,300,360,224.88,40.79,142.19,25.79
10K,3,13,2.95,186.2,55.0,8.0,22.0,271.2,2.05,745,558.75,304,365,228.43,40.88,144.62,25.88
10K,3,13.5,3.0,189.35,55.0,8.0,22.0,274.35,2.05,750,562.5,307,369,228.63,40.65,144.26,25.65
10K,3,14,3.05,192.51,55.0,8.0,22.0,277.51,2.05,760,570.0,311,373,232.19,40.74,146.69,25.74
10K,3,14.5,3.1,195.67,55.0,8.0,22.0,280.67,2.05,770,577.5,314,377,235.75,40.82,149.12,25.82
10K,3,15,3.15,198.82,55.0,8.0,22.0,283.82,2.05,780,585.0,318,382,239.3,40.91,151.55,25.91
10K,3,15.5,3.2,201.98,55.0,8.0,22.0,286.98,2.05,785,588.75,321,386,239.5,40.68,151.19,25.68
10K,3,16,3.25,205.13,55.0,8.0,22.0,290.13,2.05,795,596.25,325,390,243.06,40.76,153.62,25.76
10K,4,4,2.74,172.94,55.0,8.0,22.0,257.94,2.05,710,532.5,289,347,218.19,40.98,138.32,25.98
10K,4,4.5,2.805,177.05,55.0,8.0,22.0,262.05,2.05,720,540.0,293,352,220.8,40.89,139.8,25.89
10K,4,5,2.87,181.15,55.0,8.0,22.0,266.15,2.05,730,547.5,298,358,223.41,40.81,141.29,25.81
10K,4,5.5,2.935,185.25,55.0,8.0,22.0,270.25,2.05,740,555.0,302,363,226.02,40.72,142.77,25.72
